animal_ID,Cohort,Sex,Timepoint,Time,ZT,LD Cycle,percent_sleep,percent_sleepdec,mean_bout,mean_bout_round,total_min,total_min_round,REM_percent_sleep,REM_percent_sleepdec,REM_mean_bout,REM_mean_bout_round,REM_total_min,REM_total_min_round,nREM_percent_sleep,nREM_percent_sleepdec,nREM_mean_bout,nREM_mean_bout_round,nREM_total_min,nREM_total_min_round,WAKE_percent,WAKE_percent_dec,WAKE_mean_bout,WAKE_mean_bout_round,WAKE_total_min,WAKE_total_min_round
1:01,1,M,B,0:00:00,17,D,31.83,0.3183,56.4,56,19.098,19,11.33,0.1133,13.92,14,6.798,7,24.72,0.2472,21.22,21,14.832,15,63.94,0.6394,58.87,59,38.364,38
1:01,1,M,B,1:00:00,18,D,48,0.48,68.26,68,28.8,29,8.28,0.0828,16.24,16,4.968,5,12.28,0.1228,24,24,7.368,7,79.44,0.7944,262.36,262,47.664,48
1:01,1,M,B,2:00:00,19,D,2.06,0.0206,18,18,1.236,1,3.44,0.0344,8.67,9,2.064,2,41.83,0.4183,49.47,49,25.098,25,54.72,0.5472,68.76,69,32.832,33
1:01,1,M,B,3:00:00,20,D,58.33,0.5833,88.5,89,34.998,35,13.06,0.1306,12.86,13,7.836,8,33.83,0.3383,26.13,26,20.298,20,53.11,0.5311,51.14,51,31.866,32
1:01,1,M,B,4:00:00,21,D,36.28,0.3628,70.09,70,21.768,22,11.22,0.1122,10.47,10,6.732,7,27.44,0.2744,25.28,25,16.464,16,61.33,0.6133,71.16,71,36.798,37
1:01,1,M,B,5:00:00,22,D,25.83,0.2583,48.25,48,15.498,15,1.61,0.0161,12,12,0.966,1,0.72,0.0072,6,6,0.432,0,97.67,0.9767,503.71,504,58.602,59
1:01,1,M,B,6:00:00,23,D,41.28,0.4128,318,318,24.768,25,8.94,0.0894,11.82,12,5.364,5,58.17,0.5817,53.49,53,34.902,35,32.89,0.3289,34.59,35,19.734,20
1:02,1,M,A,7:00:00,0,L,21.72,0.2172,139.67,140,13.032,13,2.67,0.0267,7.6,8,1.602,2,43.11,0.4311,92.82,93,25.866,26,54.22,0.5422,150.15,150,32.532,33
1:02,1,M,A,8:00:00,1,L,73.56,0.7356,341.5,342,44.136,44,14.06,0.1406,16.56,17,8.436,8,59.72,0.5972,78.64,79,35.832,36,26.22,0.2622,55.29,55,15.732,16
1:02,1,M,A,9:00:00,2,L,75.67,0.7567,205.57,206,45.402,45,11.67,0.1167,17.05,17,7.002,7,66.06,0.6606,74.94,75,39.636,40,22.28,0.2228,31.15,31,13.368,13
1:02,1,M,A,10:00:00,3,L,76.33,0.7633,147.8,148,45.798,46,10.89,0.1089,13.92,14,6.534,7,73.11,0.7311,71.03,71,43.866,44,16,0.16,28.8,29,9.6,10
1:02,1,M,A,11:00:00,4,L,61.11,0.6111,192.5,193,36.666,37,6.83,0.0683,11.06,11,4.098,4,36.72,0.3672,53.2,53,22.032,22,56.44,0.5644,136.13,136,33.864,34
1:02,1,M,A,12:00:00,5,L,67.44,0.6744,151.76,152,40.464,40,5.78,0.0578,8.5,9,3.468,3,84.06,0.8406,128.42,128,50.436,50,10.17,0.1017,40.67,41,6.102,6
1:02,1,M,A,13:00:00,6,L,72.5,0.725,211.08,211,43.5,44,9.17,0.0917,8.48,8,5.502,6,72.06,0.7206,78.18,78,43.236,43,18.78,0.1878,75.33,75,11.268,11
1:02,1,M,A,14:00:00,7,L,79.56,0.7956,192,192,47.736,48,10.06,0.1006,11.03,11,6.036,6,54,0.54,57,57,32.4,32,35.94,0.3594,53.58,54,21.564,22
1:02,1,M,A,15:00:00,8,L,47.28,0.4728,92.3,92,28.368,28,8.78,0.0878,9.5,10,5.268,5,63.78,0.6378,78.6,79,38.268,38,27.44,0.2744,49,49,16.464,16
1:02,1,M,A,16:00:00,9,L,78.61,0.7861,170,170,47.166,47,9.61,0.0961,9.54,10,5.766,6,82.28,0.8228,77.79,78,49.368,49,8.11,0.0811,16.71,17,4.866,5
1:02,1,M,A,17:00:00,10,L,67.28,0.6728,185.29,185,40.368,40,7.61,0.0761,8.09,8,4.566,5,54.44,0.5444,69.66,70,32.664,33,37.94,0.3794,72.42,72,22.764,23
1:02,1,M,A,18:00:00,11,L,57.39,0.5739,119.58,120,34.434,34,10.61,0.1061,9.4,9,6.366,6,52.44,0.5244,56.82,57,31.464,31,36.94,0.3694,61.09,61,22.164,22
1:02,1,M,A,19:00:00,12,D,38.78,0.3878,70.78,71,23.268,23,10.56,0.1056,11.1,11,6.336,6,36.78,0.3678,39.12,39,22.068,22,52.67,0.5267,85.45,85,31.602,32
1:02,1,M,A,20:00:00,13,D,37.78,0.3778,93.88,94,22.668,23,4,0.04,7.57,8,2.4,2,13.33,0.1333,17.84,18,7.998,8,82.67,0.8267,111.11,111,49.602,50
1:02,1,M,A,21:00:00,14,D,44.5,0.445,89.09,89,26.7,27,8.28,0.0828,9.46,9,4.968,5,27.72,0.2772,20.64,21,16.632,17,64,0.64,60.79,61,38.4,38
1:02,1,M,A,22:00:00,15,D,35.22,0.3522,114.62,115,21.132,21,10.5,0.105,13.39,13,6.3,6,23.33,0.2333,19.61,20,13.998,14,66.17,0.6617,55.21,55,39.702,40
1:02,1,M,A,23:00:00,16,D,48.5,0.485,83.25,83,29.1,29,2.78,0.0278,9.5,10,1.668,2,8.44,0.0844,21.83,22,5.064,5,88.78,0.8878,230.43,230,53.268,53
1:02,1,M,A,0:00:00,17,D,53.39,0.5339,98.36,98,32.034,32,20.06,0.2006,13.58,14,12.036,12,32.17,0.3217,16.48,16,19.302,19,47.78,0.4778,34.6,35,28.668,29
1:02,1,M,A,1:00:00,18,D,11.61,0.1161,37.73,38,6.966,7,4.5,0.045,10.91,11,2.7,3,9.39,0.0939,15.8,16,5.634,6,86.11,0.8611,129.25,129,51.666,52
1:02,1,M,A,2:00:00,19,D,15.67,0.1567,73.78,74,9.402,9,25.28,0.2528,15.63,16,15.168,15,46.44,0.4644,26.48,26,27.864,28,28.28,0.2828,29.24,29,16.968,17
1:02,1,M,A,3:00:00,20,D,51.17,0.5117,96.91,97,30.702,31,16.28,0.1628,13.03,13,9.768,10,39.94,0.3994,32.31,32,23.964,24,43.78,0.4378,73.52,74,26.268,26
1:02,1,M,A,4:00:00,21,D,19.33,0.1933,55.63,56,11.598,12,12.89,0.1289,11.6,12,7.734,8,35.44,0.3544,26.67,27,21.264,21,51.67,0.5167,59.81,60,31.002,31
1:02,1,M,A,5:00:00,22,D,26.72,0.2672,69.38,69,16.032,16,5.61,0.0561,9.41,9,3.366,3,22.89,0.2289,31.92,32,13.734,14,71.5,0.715,85.6,86,42.9,43
1:02,1,M,A,6:00:00,23,D,2.06,0.0206,21.6,22,1.236,1,0.33,0.0033,6,6,0.198,0,0.17,0.0017,6,6,0.102,0,99.5,0.995,1194,1194,59.7,60
1:02,1,M,B,7:00:00,0,L,45.67,0.4567,192.89,193,27.402,27,2.72,0.0272,9,9,1.632,2,19.11,0.1911,98.57,99,11.466,11,78.17,0.7817,351.5,352,46.902,47
1:02,1,M,B,8:00:00,1,L,73.78,0.7378,253.27,253,44.268,44,12.28,0.1228,14.38,14,7.368,7,61.17,0.6117,74.8,75,36.702,37,26.56,0.2656,80,80,15.936,16
1:02,1,M,B,9:00:00,2,L,77.72,0.7772,149.5,150,46.632,47,8.61,0.0861,12.74,13,5.166,5,67.06,0.6706,98.08,98,40.236,40,24.33,0.2433,41.62,42,14.598,15
1:02,1,M,B,10:00:00,3,L,84,0.84,211.73,212,50.4,50,7.72,0.0772,10,10,4.632,5,68.72,0.6872,73.35,73,41.232,41,23.56,0.2356,30.43,30,14.136,14
1:02,1,M,B,11:00:00,4,L,43.67,0.4367,185.33,185,26.202,26,4.44,0.0444,9.54,10,2.664,3,56.56,0.5656,98,98,33.936,34,39,0.39,99.86,100,23.4,23
1:02,1,M,B,12:00:00,5,L,89.72,0.8972,470.57,471,53.832,54,4.67,0.0467,10,10,2.802,3,62.78,0.6278,70.63,71,37.668,38,32.56,0.3256,61.26,61,19.536,20
1:02,1,M,B,13:00:00,6,L,81.33,0.8133,597.6,598,48.798,49,5.78,0.0578,10.15,10,3.468,3,69.94,0.6994,79.44,79,41.964,42,24.28,0.2428,38.35,38,14.568,15
